_,0,0,0,0.008771929824561403,0,0,0,0,0,0
_____,0,0,0,0,0,0,0.0125,0,0,0
______,0,0,0,0,0,0,0.003125,0,0,0
_______,0,0,0,0,0,0,0.00625,0,0,0
____________,0,0,0,0,0,0,0.003125,0,0,0
_bret,0,0,0,0,0,0,0,0,0,0.01282051282051282
a1,0,0,0,0,0.004032258064516129,0,0.09711850649350649,0,0,0.0196078431372549
a1b1,0,0,0,0,0,0,0,0.009615384615384616,0,0
a2,0,0,0,0,0,0,0.034375,0,0,0
a3,0,0,0,0,0,0,0,0,0,0
a300,0,0,0,0,0,0,0,0,0,0
a300b4,0,0,0,0,0,0,0,0,0,0
a320,0,0,0,0,0,0,0,0,0,0
a330,0,0,0,0,0,0,0,0,0,0
a340,0,0,0,0,0,0,0,0,0,0
a4,0,0,0,0,0,0,0,0,0,0
a5,0,0,0,0,0,0,0,0,0,0
a6,0,0,0,0,0,0,0,0,0,0
a7,0,0,0,0,0,0.007518796992481203,0,0,0,0
a78,0,0,0,0,0,0,0,0,0,0.0013227513227513227
a7e,0,0,0,0,0,0,0,0,0,0
aa,0,0,0,0,0,0,0.0037735849056603774,0,0,0
aa1,0,0,0,0,0,0,0,0,0,0
aa2,0,0,0,0,0,0,0,0,0,0
aa3,0,0,0,0,0,0,0,0,0,0
aaa,0,0,0,0,0,0,0,0,0,0
aacount,0,0,0,0,0,0,0,0,0,0
aad,0,0,0,0,0,0,0,0,0,0
aadj,0,0,0,0,0,0,0,0,0,0
aag,0,0,0,0,0,0,0,0,0,0
aah,0,0,0,0,0,0,0,0,0,0
aahp,0,0,0,0,0,0.010948905109489052,0,0,0,0
aair,0,0,0,0,0,0,0,0,0,0
aalborg,0,0,0,0,0,0,0,0,0,0.041666666666666664
aalst,0,0,0,0,0,0,0,0,0,0.022222222222222223
aalton,0,0,0,0,0.005333333333333333,0,0.0029154518950437317,0,0,0
aaltonaa,0,0,0,0,0,0,0,0,0,0.002881844380403458
aama,0,0,0,0,0,0,0,0,0,0
aamir,0,0,0,0,0,0,0,0,0,0.01371455326294036
aamodt,0,0,0,0,0,0,0,0,0,0.010876983862324422
aandewiel,0,0,0,0,0,0,0,0,0,0.010869565217391304
aap,0,0,0,0,0,0,0,0,0,0
aapc,0,0,0,0,0,0,0,0,0,0
aapt,0,0,0,0,0,0,0,0,0,0
aaqib,0,0,0,0,0,0,0,0,0,0.008130081300813009
aaquib,0,0,0,0,0,0,0,0,0,0.008130081300813009
